代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
562390,中药ETF银华,0.889,0.8854,-0.41,0.038,4.47,267127.0,23492945.0,0.853,0.889,0.853,0.851,4.23,31.64,12.27,24.99,166440.0,100687.0,-8902125.0,-37.89,-12660425.0,-53.89,3758300.0,16.0,5611919.0,23.89,3290205.0,14.01,-6697.0,0.888,0.889,84429000.0,75057381,75057381,2026-07-13 00:00:00,2026-07-13 16:11:44+08:00
561510,中药ETF华泰柏瑞,0.949,0.9465,-0.26,0.038,4.17,133673.0,12544893.0,0.918,0.949,0.916,0.911,3.62,20.82,6.69,9.08,90616.0,43057.0,-4774375.0,-38.06,-7033011.0,-56.06,2258636.0,18.0,2922838.0,23.3,1851537.0,14.76,-4028.0,0.949,0.95,64206000.0,60931494,60931494,2026-07-13 00:00:00,2026-07-13 16:11:36+08:00
560080,中药ETF汇添富,0.974,0.9716,-0.25,0.039,4.17,2290324.0,220591161.0,0.939,0.975,0.936,0.935,4.17,8.72,3.5,8.97,1439184.0,851140.0,-7518901.0,-3.41,-12913234.0,-5.85,5394333.0,2.45,10286152.0,4.66,-2767251.0,-1.25,-36118.0,0.974,0.975,2626765008.0,2558469118,2558469118,2026-07-13 00:00:00,2026-07-13 16:11:50+08:00
159647,中药ETF鹏华,0.904,0.9031,-0.1,0.036,4.15,660993.0,59072799.55,0.876,0.904,0.871,0.868,3.8,4.3,2.54,19.07,402462.0,258531.0,1767551.0,2.99,-608223.0,-1.03,2375774.0,4.02,-8395.0,-0.01,-1759157.0,-2.98,-10124.0,0.904,0.905,1535961760.0,1388509431,1388509431,2026-07-13 00:00:00,2026-07-13 15:34:36+08:00
513350,标普油气ETF富国,1.181,1.1278,-4.72,0.045,3.96,20923895.0,2484316032.0,1.191,1.208,1.164,1.136,3.87,259.04,1.57,35.8,10872981.0,10050914.0,772944.0,0.03,-30564352.0,-1.23,31337296.0,1.26,-6888368.0,-0.28,6115433.0,0.25,-166373.0,1.181,1.182,807746000.0,953948026,953948026,2026-07-13 00:00:00,2026-07-13 16:11:52+08:00
159985,豆粕ETF华夏,2.206,2.0413,-8.07,0.062,2.89,4653381.0,1021499422.937,2.159,2.232,2.159,2.144,3.4,30.64,1.88,-25.06,2521810.0,2131571.0,23893837.0,2.34,19346205.0,1.89,4547632.0,0.45,10640976.0,1.04,-34534807.0,-3.38,18585.0,2.205,2.206,1518724064.0,3350305285,3350305285,2026-07-13 00:00:00,2026-07-13 15:34:36+08:00
520870,巴西ETF易方达,1.115,1.1248,0.87,0.031,2.86,883851.0,98538733.0,1.122,1.122,1.109,1.084,1.2,16.14,1.83,-37.51,377729.0,506122.0,10286542.0,10.44,1095697.0,1.11,9190845.0,9.33,-7809995.0,-7.93,-2476546.0,-2.51,-9062.0,1.114,1.115,547477200.0,610437078,610437078,2026-07-13 00:00:00,2026-07-13 16:11:36+08:00
159100,巴西ETF华夏,1.117,1.1253,0.74,0.029,2.67,467860.0,52253258.7,1.123,1.123,1.111,1.088,1.1,10.03,1.77,-33.67,208280.0,259580.0,5794505.0,11.09,497197.0,0.95,5297308.0,10.14,-3364219.0,-6.44,-2430286.0,-4.65,-8855.0,1.117,1.118,466546928.0,521132919,521132919,2026-07-13 00:00:00,2026-07-13 15:34:00+08:00
512410,银行ETF广发,1.047,1.0441,-0.28,0.025,2.45,159683.0,16573551.0,1.021,1.051,1.02,1.022,3.03,10.44,0.28,-28.63,101402.0,58282.0,89938.0,0.54,-294128.0,-1.77,384066.0,2.32,-286403.0,-1.73,196466.0,1.19,-1644.0,1.045,1.047,152971700.0,160161370,160161370,2026-07-13 00:00:00,2026-07-13 16:11:51+08:00
159518,标普油气ETF嘉实,1.093,1.0752,-1.66,0.025,2.34,9558884.0,1047871524.557,1.113,1.115,1.087,1.068,2.62,57.92,1.5,-14.04,4782603.0,4776281.0,-24556656.0,-2.34,-27036096.0,-2.58,2479440.0,0.24,15801540.0,1.51,8755124.0,0.84,70846.0,1.092,1.093,1650325376.0,1803805636,1803805636,2026-07-13 00:00:00,2026-07-13 15:34:51+08:00
512730,银行ETF鹏华,1.6,1.6004,0.02,0.035,2.24,132560.0,21096082.0,1.565,1.6,1.565,1.565,2.24,18.39,1.87,18.66,74761.0,57799.0,864119.0,4.1,559958.0,2.65,304161.0,1.44,-949766.0,-4.5,85647.0,0.41,-2231.0,1.6,1.601,72083900.0,115334240,115334240,2026-07-13 00:00:00,2026-07-13 16:11:38+08:00
516310,银行ETF易方达,1.295,1.2928,-0.17,0.028,2.21,1335649.0,171600118.0,1.263,1.295,1.263,1.267,2.53,7.4,1.45,-37.3,880683.0,454966.0,2705558.0,1.58,17750862.0,10.34,-15045304.0,-8.77,-1695128.0,-0.99,-1010429.0,-0.59,-10409.0,1.295,1.296,1805358496.0,2337939252,2337939252,2026-07-13 00:00:00,2026-07-13 16:11:38+08:00
512700,银行ETF南方,1.441,1.4377,-0.23,0.031,2.2,1304460.0,186395907.0,1.408,1.441,1.405,1.41,2.55,16.58,1.99,-23.39,904887.0,399573.0,13016630.0,6.98,6489899.0,3.48,6526731.0,3.5,-11202321.0,-6.01,-1814308.0,-0.97,-1771.0,1.44,1.441,786581008.0,1133463233,1133463233,2026-07-13 00:00:00,2026-07-13 16:11:48+08:00
560670,银行ETF华泰柏瑞,1.0,1.0007,0.07,0.02,2.04,180101.0,17929399.0,0.98,1.001,0.975,0.98,2.65,22.11,1.38,-19.37,104381.0,75720.0,805259.0,4.49,1907764.0,10.64,-1102505.0,-6.15,-809356.0,-4.51,4096.0,0.02,-237.0,0.999,1.0,81474000.0,81474000,81474000,2026-07-13 00:00:00,2026-07-13 16:11:36+08:00
159887,银行ETF富国,1.274,1.274,0.0,0.025,2.0,1035227.0,131282921.031,1.248,1.275,1.244,1.249,2.48,15.56,1.78,27.17,715978.0,319249.0,-1842709.0,-1.4,-869560.0,-0.66,-973149.0,-0.74,5702403.0,4.34,-3859693.0,-2.94,3477.0,1.273,1.274,665115952.0,847357723,847357723,2026-07-13 00:00:00,2026-07-13 15:34:24+08:00
515020,银行ETF华夏,1.668,1.6675,-0.03,0.032,1.96,897677.0,148833525.0,1.635,1.671,1.63,1.636,2.51,22.68,1.3,-54.83,454347.0,443330.0,-5646132.0,-3.79,-3041882.0,-2.04,-2604250.0,-1.75,4622414.0,3.11,1023717.0,0.69,-315.0,1.668,1.67,395845296.0,660269954,660269954,2026-07-13 00:00:00,2026-07-13 16:11:52+08:00
512820,银行ETF汇添富,1.37,1.3702,0.01,0.026,1.93,785786.0,106932664.0,1.34,1.37,1.339,1.344,2.31,17.9,1.31,24.93,467876.0,317910.0,1870456.0,1.75,3234910.0,3.03,-1364454.0,-1.28,196237.0,0.18,-2066694.0,-1.93,-2388.0,1.37,1.371,439001904.0,601432608,601432608,2026-07-13 00:00:00,2026-07-13 16:11:45+08:00
516210,银行ETF华安,1.33,1.3304,0.03,0.025,1.92,106534.0,14066320.0,1.318,1.33,1.301,1.305,2.22,12.89,1.63,4.99,56196.0,50338.0,776086.0,5.52,1509803.0,10.73,-733717.0,-5.22,-647236.0,-4.6,-128851.0,-0.92,145.0,1.329,1.33,82631000.0,109899230,109899230,2026-07-13 00:00:00,2026-07-13 16:11:49+08:00
515290,银行ETF天弘,1.404,1.4003,-0.26,0.026,1.89,575383.0,80047204.0,1.376,1.404,1.367,1.378,2.69,2.13,1.84,-56.65,359318.0,216065.0,-22106743.0,-27.62,-16506189.0,-20.62,-5600554.0,-7.0,2022768.0,2.53,20083976.0,25.09,-662.0,1.404,1.405,2704672896.0,3797360746,3797360746,2026-07-13 00:00:00,2026-07-13 16:11:41+08:00
159525,红利低波ETF富国,1.051,1.0511,0.01,0.018,1.74,168610.0,17605835.349,1.033,1.051,1.03,1.033,2.03,3.52,0.84,-67.42,93837.0,74773.0,2318180.0,13.17,2894929.0,16.44,-576749.0,-3.28,-850614.0,-4.83,-1467566.0,-8.34,110.0,1.05,1.051,478743744.0,503159675,503159675,2026-07-13 00:00:00,2026-07-13 15:34:54+08:00
159253,银行ETF博时,0.928,0.931,0.32,0.015,1.64,66501.0,6152216.409,0.905,0.93,0.905,0.913,2.74,1.08,1.36,-33.82,32601.0,33900.0,1435148.0,23.33,1620379.0,26.34,-185231.0,-3.01,-1091195.0,-17.74,-343953.0,-5.59,-254.0,0.928,0.93,615204976.0,570910218,570910218,2026-07-13 00:00:00,2026-07-13 15:34:15+08:00
560150,红利低波ETF泰康,1.084,1.0854,0.13,0.017,1.59,52713.0,5689189.0,1.067,1.085,1.066,1.067,1.78,0.77,0.74,17.46,30981.0,21732.0,171215.0,3.01,1828.0,0.03,169387.0,2.98,-918792.0,-16.15,747576.0,13.14,-8.0,1.083,1.084,684279296.0,741758757,741758757,2026-07-13 00:00:00,2026-07-13 16:11:40+08:00
512800,银行ETF华宝,0.779,0.7802,0.15,0.012,1.56,15286525.0,1186670038.0,0.764,0.781,0.762,0.767,2.48,11.07,1.35,-40.29,10287451.0,4999074.0,-44542306.0,-3.75,-170317664.0,-14.35,125775358.0,10.6,47681471.0,4.02,-3139184.0,-0.26,-192466.0,0.779,0.78,13814080000.0,10761168320,10761168320,2026-07-13 00:00:00,2026-07-13 16:11:40+08:00
517900,银行AH优选ETF招商,1.443,1.4452,0.15,0.022,1.55,298256.0,42908586.0,1.426,1.449,1.418,1.421,2.18,6.27,1.48,-37.89,203309.0,94947.0,-179753.0,-0.42,-1527972.0,-3.56,1348219.0,3.14,-2741.0,-0.01,182494.0,0.43,-257.0,1.443,1.444,475993504.0,686858626,686858626,2026-07-13 00:00:00,2026-07-13 16:11:46+08:00
